Etat;Entreprise;Secteur;Période;Devise;Région;Pays;Poste;2020;2021;2022;2023;2024;2025;2026;2027
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Intérêts minoritaires;-21.0;-33.0;-29.0;11.0;-18.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat net;7750.0;9770.0;9540.0;10710.0;10630.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat net pour les actionnaires ordinaires, éléments exceptionnels inclus.;7750.0;9770.0;9540.0;10710.0;10630.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Bénéfice net par action - de base;1.8;2.26;2.2;2.48;2.47;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;BPA de base - Activités poursuivies;1.8;2.26;2.2;2.48;2.47;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Moyenne pondérée des actions en circulation;4300.0;4320.0;4330.0;4320.0;4310.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Bénéfice net par action - dilué;1.79;2.25;2.19;2.47;2.46;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;BPA dilué - Activités poursuivies;1.79;2.25;2.19;2.47;2.46;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Moyenne pondérée diluée des actions en circulation;4320.0;4340.0;4350.0;4340.0;4320.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;BPA de base normalisé;1.43;1.67;1.92;2.06;2.22;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;BPA dilué normalisé;1.42;1.66;1.91;2.05;2.21;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dividende par action;1.64;1.68;1.76;1.84;1.94;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Ratio de distribution;90.96;74.22;79.82;74.22;78.63;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;American Depositary Receipts Ratio (ADR);0.17;0.17;0.17;0.17;0.17;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;EBITDA;11530.0;12890.0;13540.0;14440.0;15380.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;EBITA;10190.0;11600.0;12400.0;13410.0;14300.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;EBIT;9990.0;11440.0;12280.0;13310.0;14300.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;EBITDAR;11880.0;13230.0;13940.0;14840.0;15740.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des impôts courants;2000.0;1730.0;2240.0;2250.0;2450.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des impôts différés;-18.0;894.0;-122.0;-2.0;-11.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat net normalisé;6150.0;7190.0;8300.0;8900.0;9560.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Provisions de pension;-156.0;-158.0;-217.0;26.0;-60.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépense de publicité;2780.0;4100.0;4320.0;5010.0;5150.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépense de marketing;2780.0;4100.0;4320.0;5010.0;5150.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Charges locatives nettes, total;353.0;342.0;397.0;397.0;362.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Charges d'intérêts imputées au titre des contrats de location;91.61;98.56;64.75;112.0;105.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Amortissement imputé des contrats de location simple;261.0;243.0;332.0;285.0;257.0;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Rémunération payée en actions, autres (total);15.0;Nan;Nan;Nan;Nan;;;
Compte de résultat;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des rémunérations fondées sur des actions;141.0;337.0;356.0;254.0;286.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Intérêts minoritaires;-21.0;-33.0;-29.0;11.0;-18.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Trésorerie et équivalents;6800.0;9680.0;9520.0;9370.0;10830.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Valeur mobilières de placement (VMP) à court terme;4120.0;2940.0;2110.0;4300.0;3740.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des liquidités et VMP;10910.0;12630.0;11630.0;13660.0;14570.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Créances clients, total;3140.0;3510.0;3490.0;3410.0;3570.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des créances;3140.0;3510.0;3490.0;3410.0;3570.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Stocks;3270.0;3410.0;4230.0;4420.0;4730.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépenses payées d'avance;1760.0;1980.0;2130.0;2930.0;2530.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres actifs à court terme, total;152.0;1020.0;808.0;2300.0;603.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total de l'actif circulant;19240.0;22540.0;22590.0;26730.0;26000.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Immobilisations corporelles brutes;21250.0;20280.0;20480.0;19800.0;21060.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Amortissements cumulés;-8920.0;-8940.0;-9230.0;-9230.0;-9570.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Immobilisations corporelles nettes;12320.0;11340.0;11250.0;10560.0;11480.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Investissements à long terme;22310.0;20540.0;20290.0;21640.0;20140.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Goodwill;17510.0;19360.0;18780.0;18360.0;18140.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres immobilisations incorporelles, total;11040.0;15250.0;14850.0;14860.0;13300.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Actifs d'impôts différés à long terme;2460.0;2130.0;1750.0;1560.0;1320.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres actifs à long terme, total;2410.0;3190.0;3260.0;3980.0;10170.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des actifs;87300.0;94350.0;92760.0;97700.0;101000.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Comptes à payer, total;3520.0;4600.0;5310.0;5590.0;5470.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Charges à payer, total;5920.0;8530.0;8160.0;8820.0;9830.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Emprunts à court terme;2180.0;3310.0;2370.0;4560.0;1500.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Part à court terme de la dette à long terme;490.0;1340.0;399.0;1960.0;648.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Part à court terme des contrats de location;322.0;310.0;341.0;361.0;290.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Impôts sur le revenu à payer;788.0;686.0;1200.0;1570.0;1390.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres passifs à court terme;1380.0;1170.0;1940.0;719.0;6130.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total du passif circulant;14600.0;19950.0;19720.0;23570.0;25250.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dette à long terme;40120.0;38130.0;38050.0;36660.0;43300.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Contrats de location à long terme;1300.0;1160.0;1110.0;1000.0;923.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Pensions et autres avantages postérieurs à l'emploi;2160.0;1410.0;855.0;877.0;871.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres passifs non courants;5990.0;6020.0;4280.0;5480.0;1370.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total du passif;66010.0;69490.0;66940.0;70220.0;74180.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Actions ordinaires, total;1760.0;1760.0;1760.0;1760.0;1760.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Primes d'émissions d'actions;17600.0;18120.0;18820.0;19210.0;19800.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Bénéfices non distribués sur l'exercice;66560.0;69090.0;71020.0;73780.0;76050.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Actions détenues en propre;-52020.0;-51640.0;-52600.0;-54540.0;-55920.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat global et autres;-14600.0;-14330.0;-14900.0;-14280.0;-16840.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des fonds propres ordinaires;19300.0;23000.0;24100.0;25940.0;24860.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total des capitaux propres;21280.0;24860.0;25830.0;27480.0;26370.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total du passif et des capitaux propres;87300.0;94350.0;92760.0;97700.0;101000.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;ECS Nombre total d'actions en circulation à la date de dépôt;4310.0;4340.0;4330.0;4310.0;4300.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;ECS Total des actions ordinaires en circulation;4300.0;4320.0;4330.0;4310.0;4300.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Actif net par action;4.49;5.32;5.57;6.02;5.78;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Actif corporel net;-9250.0;-11610.0;-9530.0;-7280.0;-6580.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Actif corporel net par action;-2.15;-2.69;-2.2;-1.69;-1.53;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Total de la dette;44420.0;44250.0;42280.0;44540.0;46660.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dette nette;33510.0;31620.0;30650.0;30880.0;32090.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dette relative aux PBO non financés;775.0;2770.0;-782.0;-716.0;-390.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dette relative aux contrats de location;2820.0;2740.0;3180.0;3180.0;2900.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Intérêts minoritaires, total (y compris la division financière);1980.0;1860.0;1720.0;1540.0;1520.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Investissements selon la méthode de la mise en équivalence, total;19270.0;17600.0;18260.0;19670.0;18090.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Code comptable - Valorisation des stocks;3.0;3.0;Nan;3.0;3.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Stocks - matières premières, total;2110.0;2130.0;2630.0;2620.0;2790.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Stocks de produits finis, total;791.0;982.0;1250.0;1450.0;1520.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Terres possédées;676.0;652.0;611.0;229.0;226.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Bâtiments, total;4780.0;4350.0;4430.0;4650.0;5140.0;;;
Bilan;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Employés à temps plein;80.3;79.0;82.5;79.1;69.7;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Résultat net;7750.0;9770.0;9540.0;10710.0;10630.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépréciation et amortissement - CF;1330.0;1290.0;1140.0;1030.0;1080.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépréciation du goodwill et des actifs intangibles;203.0;165.0;120.0;94.0;Nan;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Amortissements et dépréciations, Total;1540.0;1450.0;1260.0;1130.0;1080.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépréciation du coût d'acquisition d'actifs et dépenses de restructuration;239.0;85.0;64.0;Nan;Nan;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;(Revenus) pertes sur participations - (CF);-511.0;-615.0;-838.0;-1020.0;-802.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres activités d'exploitation, total;931.0;1640.0;1370.0;1860.0;3590.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Variation des créances;882.0;-225.0;-69.0;-2.0;-295.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Variation des stocks;99.0;-135.0;-960.0;-597.0;-520.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Variation des dettes fournisseurs;-860.0;2840.0;759.0;841.0;1130.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Variation des autres actifs nets d'exploitation;585.0;-592.0;25.0;-510.0;-5730.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Flux de trésorerie d'exploitation;9840.0;12620.0;11020.0;11600.0;6800.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dépenses d'investissement du capital (CAPEX);-1180.0;-1370.0;-1480.0;-1850.0;-2060.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Vente d'immobilisations corporelles;189.0;108.0;75.0;74.0;40.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Acquisitions en espèces;-1050.0;-4770.0;-73.0;-62.0;-315.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Investissements en titres négociables et en actions, total;252.0;1030.0;1020.0;-2340.0;949.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Autres activités d'investissement, total;122.0;51.0;-759.0;405.0;429.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Flux de trésorerie d'investissement;-1480.0;-2760.0;-763.0;-3350.0;2520.0;;;
Flux de trésorerie;THE COCA-COLA COMPANY;Boissons non alcoolisées - Autres;Décembre;USD en Millions;Amerique Du Nord;Etats Unis;Dette à long terme émise, total;26930.0;13090.0;3970.0;6890.0;12060.0;;;
